cenario,repeticao,requisicoes,concorrencia,sucessos,erros,tempo_total_s,requisicoes_por_segundo,media_ms,mediana_ms,p95_ms,minimo_ms,maximo_ms,status_http
1 nó Laravel,1,300,30,300,0,1.275728,235.159818,121.945266,137.830765,152.601694,11.619818,162.601198,200:300
1 nó Laravel,2,300,30,300,0,0.866181,346.347899,81.992001,79.530686,112.365965,11.959807,120.902601,200:300
1 nó Laravel,3,300,30,300,0,0.824915,363.673824,77.762654,78.328137,97.766308,12.468371,102.185749,200:300
2 nós Laravel,1,300,30,300,0,0.751981,398.946324,69.783321,47.522966,150.999007,10.153467,154.510582,200:300
2 nós Laravel,2,300,30,300,0,0.567978,528.189239,53.232846,54.900142,60.957875,13.904715,64.796883,200:300
2 nós Laravel,3,300,30,300,0,0.566540,529.530236,52.890178,54.527501,61.198913,12.982986,65.890691,200:300
3 nós Laravel,1,300,30,300,0,0.546755,548.692265,48.887256,25.044883,138.263292,10.813136,145.109757,200:300
3 nós Laravel,2,300,30,300,0,0.423582,708.245212,39.432852,40.418798,47.415432,14.349988,55.313177,200:300
3 nós Laravel,3,300,30,300,0,0.425044,705.809410,39.497137,40.475268,47.120848,13.762308,53.070917,200:300
